Sigla,Nome,Setor,Mercado
BRGE12,ALFA CONSORC PNF,Seguradoras,BOVESPA
BRGE3,ALFA CONSORC ON,Seguradoras,BOVESPA
BRGE6,ALFA CONSORC PNB,Seguradoras,BOVESPA
BRGE8,ALFA CONSORC PND,Seguradoras,BOVESPA
BRIV3,ALFA INVEST ON,Bancos,BOVESPA
BRIV4,ALFA INVEST PN,Bancos,BOVESPA
BRKM3,BRASKEM ON,Químicos,BOVESPA
BRKM5,BRASKEM PNA,Químicos,BOVESPA
BRML3,BR MALLS PAR ON,Imoveis,BOVESPA
BRPR3,BR PROPERT ON,Imoveis,BOVESPA
BRSR3,BANRISUL ON,Bancos,BOVESPA
BRSR5,BANRISUL PNA,Bancos,BOVESPA
BRSR6,BANRISUL PNB,Bancos,BOVESPA
BSEV3,BIOSEV ON,Alimentos Processados,BOVESPA
BSLI3,BRB BANCO ON,Bancos,BOVESPA
BSLI4,BRB BANCO PN,Bancos,BOVESPA
BTCR11,FII BTG CRI,DBRs,BOVESPA
BTOW3,B2W DIGITAL ON,eCommerce,BOVESPA
BTTL3,BATTISTELLA ON,Material de Transporte,BOVESPA
BZLI11,FII BRREALTY,DBRs,BOVESPA
CAMB4,CAMBUCI PN,"Tecidos, Vestuário e Calçados",BOVESPA
CAML3,CAMIL ON,Alimentos Processados,BOVESPA
CARD3,CSU CARDSYST ON,Serviços Diversos,BOVESPA
CARE11,FII DEA CARE,DBRs,BOVESPA
CATP34,CATERPILLAR DRN,DBRs,BOVESPA
CBEE3,AMPLA ENERG ON,Energia Elétrica,BOVESPA
CBOP11,FII C BRANCO,DBRs,BOVESPA
CCPR3,CYRE COM-CCP ON,Imoveis,BOVESPA
CCRO3,CCR SA ON,Transporte,BOVESPA
CCXC3,CCX CARVAO ON,DBRs,BOVESPA
CEBR3,CEB ON,Energia Elétrica,BOVESPA
CEBR5,CEB PNA,Energia Elétrica,BOVESPA
CEBR6,CEB PNB,Energia Elétrica,BOVESPA
CEDO3,CEDRO ON,"Tecidos, Vestuário e Calçados",BOVESPA
CEDO4,CEDRO PN,"Tecidos, Vestuário e Calçados",BOVESPA
CEEB3,COELBA ON,Energia Elétrica,BOVESPA
CEGR3,CEG ON,Gás,BOVESPA
CELP3,CELPA ON,DBRs,BOVESPA
CELP5,CELPA PNA,DBRs,BOVESPA
CELP6,CELPA PNB,DBRs,BOVESPA
CELP7,CELPA PNC,DBRs,BOVESPA
CEOC11,FII CEO CCP,DBRs,BOVESPA
CEPE5,CELPE PNA,Energia Elétrica,BOVESPA
CEPE6,CELPE PNB,Energia Elétrica,BOVESPA
CESP3,CESP ON,Energia Elétrica,BOVESPA
CESP5,CESP PNA,Energia Elétrica,BOVESPA
CESP6,CESP PNB,Energia Elétrica,BOVESPA
CGAS3,COMGAS ON,Gás,BOVESPA
CGAS5,COMGAS PNA,Gás,BOVESPA
CGRA3,GRAZZIOTIN ON,"Tecidos, Vestuário e Calçados",BOVESPA
CGRA4,GRAZZIOTIN PN,"Tecidos, Vestuário e Calçados",BOVESPA
CHKE34,CHESAPEAKE DRN,DBRs,BOVESPA
CHVX34,CHEVRON DRN,DBRs,BOVESPA
CIEL3,CIELO ON,Gestão de Recursos e Investimentos,BOVESPA
CLGN34,CELGENE CORP DRN,DBRs,BOVESPA
CLSC4,CELESC PN,Energia Elétrica,BOVESPA
CMCS34,COMCAST DRN,DBRs,BOVESPA
CMIG3,CEMIG ON,Energia Elétrica,BOVESPA
CMIG4,CEMIG PN,Energia Elétrica,BOVESPA
CNES11,FII CENESP,DBRs,BOVESPA
CNTO3,CENTAURO ON,eCommerce,BOVESPA
COCA34,COCA COLA DRN,DBRs,BOVESPA
COCE3,COELCE ON,Energia Elétrica,BOVESPA
COCE5,COELCE PNA,Energia Elétrica,BOVESPA
COLG34,COLGATE DRN,DBRs,BOVESPA
COPH34,COPHILLIPS DRN,DBRs,BOVESPA
COTY34,COTY INC DRN,DBRs,BOVESPA
COWC34,COSTCO DRN,DBRs,BOVESPA
CPFE3,CPFL ENERGIA ON,Energia Elétrica,BOVESPA
CPLE3,COPEL ON,Energia Elétrica,BOVESPA
CPLE6,COPEL PNB,Energia Elétrica,BOVESPA
CPRE3,CPFL RENOVAV ON,Energia Elétrica,BOVESPA
CPTS11B,FII CAPI SEC,DBRs,BOVESPA
CRDE3,CR2 ON,Construção Civil,BOVESPA
CRFB3,CARREFOUR BR ON,Alimentos Processados,BOVESPA
CRFF11,FII CX RBRA2,DBRs,BOVESPA
CRIV3,ALFA FINANC ON,Bancos,BOVESPA
CRIV4,ALFA FINANC PN,Bancos,BOVESPA
CRPG3,CRISTAL ON,Químicos,BOVESPA
CRPG5,CRISTAL PNA,Químicos,BOVESPA
CRPG6,CRISTAL PNB,Químicos,BOVESPA
CSAB3,SEG AL BAHIA ON,Seguradoras,BOVESPA
CSAB4,SEG AL BAHIA PN,Seguradoras,BOVESPA
CSAN3,COSAN ON,"Petróleo, Gás e Biocombustíveis",BOVESPA
CSCO34,CISCO DRN,DBRs,BOVESPA
CSMG3,COPASA ON,Água e Saneamento,BOVESPA
CSNA3,SID NACIONAL ON,Siderurgia e Metalurgia,BOVESPA
CSRN3,COSERN ON,Energia Elétrica,BOVESPA
CSRN5,COSERN PNA,Energia Elétrica,BOVESPA
CSRN6,COSERN PNB,Energia Elétrica,BOVESPA
CTGP34,CITIGROUP DRN,DBRs,BOVESPA
CTKA3,KARSTEN ON,"Tecidos, Vestuário e Calçados",BOVESPA
CTKA4,KARSTEN PN,"Tecidos, Vestuário e Calçados",BOVESPA
CTNM3,COTEMINAS ON,"Tecidos, Vestuário e Calçados",BOVESPA
CTNM4,COTEMINAS PN,"Tecidos, Vestuário e Calçados",BOVESPA
CTSA3,SANTANENSE ON,"Tecidos, Vestuário e Calçados",BOVESPA
CTSA4,SANTANENSE PN,"Tecidos, Vestuário e Calçados",BOVESPA
CTSH34,COGNIZANT DRN,DBRs,BOVESPA
CTXT11,FII C TEXTIL,DBRs,BOVESPA
CVCB3,CVC BRASIL ON,Viagens e Lazer,BOVESPA
CVSH34,CVS HEALTH DRN,DBRs,BOVESPA
CXCE11B,FII CX CEDAE,DBRs,BOVESPA
CXRI11,FII CX RBRAV,DBRs,BOVESPA
CXTL11,FII CX TRX,DBRs,BOVESPA
CYRE3,CYRELA REALT ON,Construção Civil,BOVESPA
DASA3,DASA ON,Servicos Medico - Hospitalares,BOVESPA
DEAI34,DELTA DRN,DBRs,BOVESPA
DHER34,DANAHER CORP DRN,DBRs,BOVESPA
DIRR3,DIRECIONAL ON,Construção Civil,BOVESPA
DISB34,WALT DISNEY DRN,DBRs,BOVESPA
DIVO11,IT NOW IDIV CI,DBRs,BOVESPA
DMAC11,FII MAC,DBRs,BOVESPA
DMMO3,DOMMO ON,"Petróleo, Gás e Biocombustíveis",BOVESPA
DOHL4,DOHLER PN,"Tecidos, Vestuário e Calçados",BOVESPA
DOMC11,FII DOMO,DBRs,BOVESPA
DRIT11B,FII MTGESTAO,DBRs,BOVESPA
DTCY3,DTCOM-DIRECT ON,Serviços Diversos,BOVESPA
DTEX3,DURATEX ON,Madeira e Papel,BOVESPA
DUKB34,DUKE ENERGY DRN,DBRs,BOVESPA
EALT3,ACO ALTONA ON,Máquinas e Equipamentos,BOVESPA
EALT4,ACO ALTONA PN,Máquinas e Equipamentos,BOVESPA
EBAY34,EBAY DRN,DBRs,BOVESPA
ECOO11,ISHARES ECOO CI,DBRs,BOVESPA
ECOR3,ECORODOVIAS ON,Transporte,BOVESPA
ECPR3,ENCORPAR ON,"Tecidos, Vestuário e Calçados",BOVESPA
EDFO11B,FII OURINVES,DBRs,BOVESPA
EDGA11,FII GALERIA,DBRs,BOVESPA
EEEL3,CEEE-GT ON,Energia Elétrica,BOVESPA
EGIE3,ENGIE BRASIL ON,Energia Elétrica,BOVESPA
EKTR4,ELEKTRO PN,Energia Elétrica,BOVESPA
ELEK3,ELEKEIROZ ON,DBRs,BOVESPA
ELEK4,ELEKEIROZ PN,DBRs,BOVESPA
ELET3,ELETROBRAS ON,Energia Elétrica,BOVESPA
ELET6,ELETROBRAS PNB,Energia Elétrica,BOVESPA
ELPL3,ELETROPAULO ON,DBRs,BOVESPA
EMAE4,EMAE PN,Energia Elétrica,BOVESPA
EMBR3,EMBRAER ON,Material de Transporte,BOVESPA
ENAT3,ENAUTA PART,"Petróleo, Gás e Biocombustíveis",BOVESPA
ENBR3,ENERGIAS BR ON,Energia Elétrica,BOVESPA
ENEV3,ENEVA ON,Energia Elétrica,BOVESPA
ENGI11,ENERGISA UNT,Energia Elétrica,BOVESPA
ENGI3,ENERGISA ON,Energia Elétrica,BOVESPA
ENGI4,ENERGISA PN,Energia Elétrica,BOVESPA
ENMA3B,CEMAR,DBRs,BOVESPA
ENMT3,ENERGISA MT ON,Energia Elétrica,BOVESPA
ENMT4,ENERGISA MT PN,Energia Elétrica,BOVESPA
EQTL3,EQUATORIAL ON,Energia Elétrica,BOVESPA
ESTC3,ESTACIO PART ON,DBRs,BOVESPA
ESTR4,ESTRELA PN,Viagens e Lazer,BOVESPA
ETER3,ETERNIT ON,Construção e Engenharia,BOVESPA
EUCA3,EUCATEX ON,Madeira e Papel,BOVESPA
EUCA4,EUCATEX PN,Madeira e Papel,BOVESPA
EURO11,FII EUROPAR,DBRs,BOVESPA
EVEN3,EVEN ON,Construção Civil,BOVESPA
EXXO34,EXXON MOBIL DRN,DBRs,BOVESPA
EZTC3,EZTEC ON,Construção Civil,BOVESPA
FAED11,FII ANH EDUC,DBRs,BOVESPA
FAMB11B,FII ALMIRANT,DBRs,BOVESPA
FBOK34,FACEBOOK DRN,DBRs,BOVESPA
FCFL11,FII CAMPUSFL,DBRs,BOVESPA
FCXO34,FREEPORT DRN,DBRs,BOVESPA
FDMO34,FORD MOTORS DRN,DBRs,BOVESPA
FDXB34,FEDEX CORP DRN,DBRs,BOVESPA
FESA3,FERBASA ON,Siderurgia e Metalurgia,BOVESPA
FESA4,FERBASA PN,Siderurgia e Metalurgia,BOVESPA
FEXC11,FII EXCELLEN,DBRs,BOVESPA
FFCI11,FII RIOB RC,DBRs,BOVESPA
FHER3,FER HERINGER ON,Químicos,BOVESPA
FIGS11,FII GEN SHOP,DBRs,BOVESPA
FIIB11,FII INDL BR,DBRs,BOVESPA
FIIP11B,FII RB CAP I,DBRs,BOVESPA
FIND11,IT NOW IFNC CI,DBRs,BOVESPA
FIVN11,FII VIDANOVA,DBRs,BOVESPA
FIXX11,FII FATORFIX,DBRs,BOVESPA
FJTA3,FORJA TAURUS ON,DBRs,BOVESPA
FJTA4,FORJA TAURUS PN,DBRs,BOVESPA
